Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status
Fund08,A2T: Alternative to Tyranny,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwn8,4.17,105,27697943,0,17221143,10476800,YES,64000,NOT FUNDED,803,USD,Over Budget
Fund08,ABC of Governance,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBu93,4.76,274,60390610,0,2501784,57888826,YES,10135,FUNDED,334765,USD,
Fund08,Accel. Train the Trainer Africa MVP,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwtc,4.11,93,17926530,0,13954109,3972421,NO,33800,NOT FUNDED,113,USD,Approval Threshold
Fund08,Account authentication,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvuj,3.33,88,23918886,0,12326078,11592808,NO,28000,NOT FUNDED,2000,USD,Approval Threshold
Fund08,ADA funded STEM themed indie film,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBu5R,2.75,81,18833090,0,14329451,4503639,NO,50000,NOT FUNDED,2700,USD,Approval Threshold
Fund08,Ada NFT Marketplace for the unsung,DApps and Integrations,https://app.ideascale.com/t/UM5UZBw3A,3.78,99,28674978,0,15823259,12851719,YES,80000,NOT FUNDED,2000,USD,Over Budget
Fund08,ADA Pay Plugin - Wordpress/Laravel,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwFH,4.81,753,132530298,0,11065727,121464571,YES,35200,FUNDED,784600,USD,
Fund08,ADA Scam Alert - Info & Protection,Cardano scaling solutions,https://app.ideascale.com/t/UM5UZBvRP,2.54,277,38035241,0,28584269,9450972,YES,45600,FUNDED,217472,USD,
Fund08,ADA to Mobile Money App,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvUx,3.89,136,33733390,0,16253594,17479796,YES,44000,NOT FUNDED,2000,USD,Over Budget
Fund08,ADA water solutions in Africa,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvuq,3.5,77,25070968,0,11407922,13663046,NO,28500,NOT FUNDED,113,USD,Approval Threshold
Fund08,ADA-DESO Templates to Test dApps,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvq7,4.73,243,74881061,0,3712164,71168897,YES,9250,FUNDED,1536700,USD,
Fund08,ADA-DESO Templates to Test Projects,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvq8,4.67,222,54244931,0,11676115,42568816,YES,19850,FUNDED,125630,USD,
Fund08,Ada's Place - A Medium Publication,Cardano scaling solutions,https://app.ideascale.com/t/UM5UZBw4N,2.74,166,30598020,0,26393237,4204783,YES,33999,FUNDED,183473,USD,
Fund08,ADABet: Betting Site for Everything,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBvcJ,3.71,256,33356028,0,32329020,1027008,NO,49200,NOT FUNDED,4773,USD,Approval Threshold
Fund08,Adaglass Data Intelligence Platform,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBu3x,4.27,123,55149836,0,5088778,50061058,YES,74000,FUNDED,149954,USD,
Fund08,ADAmint Fractionalized NFT Exchange,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvmf,4,111,30141106,0,24001613,6139493,YES,170400,NOT FUNDED,1000,USD,Over Budget
Fund08,ADAO Education & Marketing Content,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBw2m,3.24,100,27436301,0,14796351,12639950,YES,9750,NOT FUNDED,2700,USD,Over Budget
Fund08,ADAO Summon: DAO Incubator,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBw2X,4.5,270,64016642,0,8316924,55699718,YES,69420,FUNDED,111850,USD,
Fund08,ADAO-Multi-sig Wallet Web Interface,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwru,4.17,228,62337341,0,14725535,47611806,YES,10000,FUNDED,64850,USD,
Fund08,AdaQuest - Concept Phase 2,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBws2,4.92,624,96596959,0,18613812,77983147,YES,23000,FUNDED,324750,USD,
Fund08,AdaQuest ARENA - Finalize,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwfK,4.42,169,37258818,0,5833293,31425525,YES,40000,NOT FUNDED,1683,USD,Over Budget
Fund08,AdaQuest ENHANCED ARENA Visual Mode,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBw7o,4.67,247,47040967,0,20577211,26463756,YES,20000,NOT FUNDED,1683,USD,Over Budget
Fund08,AdaQuest GOBLINVERSE Cross Spring,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwyl,4.44,175,34335562,0,17312030,17023532,YES,39000,NOT FUNDED,1683,USD,Over Budget
Fund08,AdaQuest MARKETING campaign,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBw5i,4.5,213,47761194,0,14349127,33412067,YES,35000,NOT FUNDED,1683,USD,Over Budget
Fund08,AdaQuest PROTOTYPE Phase 2,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBw6f,4.58,238,72549418,0,5619888,66929530,YES,38000,FUNDED,113333,USD,
Fund08,AdaQuest PVE Quests & Stories,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwpH,4.73,360,95526045,0,13406340,82119705,YES,35000,FUNDED,397750,USD,
Fund08,AdaQuest SFX Library for RPG games,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwzU,4,162,41879375,0,14602968,27276407,YES,12500,NOT FUNDED,1683,USD,Over Budget
Fund08,AdaSign,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvv6,3.67,166,34936587,0,15131889,19804698,YES,76000,NOT FUNDED,7200,USD,Over Budget
Fund08,Adatar.me - Growth Acceleration,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw0Q,4.33,138,27782415,0,21653888,6128527,YES,25000,NOT FUNDED,332,USD,Over Budget
Fund08,Adatar.me Address Book,DApps and Integrations,https://app.ideascale.com/t/UM5UZBw1B,4.53,209,38649323,0,17285496,21363827,YES,10000,NOT FUNDED,2000,USD,Over Budget
Fund08,Adatar.me for ALGO,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw62,3.79,204,32505771,0,32156524,349247,NO,8000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Adatar.me for ATOM,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvKQ,4.15,255,39494657,0,24732549,14762108,YES,8000,FUNDED,130,USD,
Fund08,Adatar.me for AVAX,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw68,3.89,193,36091014,0,26144229,9946785,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for BTC,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvKN,4.03,265,50456080,0,19915277,30540803,YES,8000,FUNDED,41130,USD,
Fund08,Adatar.me for DOGE,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7G,3.92,195,33549433,0,25863645,7685788,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for DOT,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw6u,3.93,205,35408843,0,27272816,8136027,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for EGLD,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvKT,3.96,196,28493507,0,34911139,-6417632,NO,8000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Adatar.me for ETC,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7n,3.85,191,34159925,0,27653511,6506414,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for ETH,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7r,3.46,218,42605146,0,20398283,22206863,YES,10000,NOT FUNDED,8130,USD,Over Budget
Fund08,Adatar.me for FTM,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw8A,3.73,180,33676386,0,27274666,6401720,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for IOTA,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw8P,3.74,200,33628006,0,26136770,7491236,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for LINK,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7k,3.96,211,35951247,0,27753861,8197386,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for LTC,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7V,3.9,194,27848001,0,39860237,-12012236,NO,8000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Adatar.me for LTC,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7f,3.76,181,33227920,0,28515280,4712640,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for MANA,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw6d,3.92,197,33618049,0,25392700,8225349,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for SHIB,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw7L,3.88,188,25032219,0,28708698,-3676479,NO,8000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Adatar.me for SOL,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw6y,4,218,31073897,0,25634652,5439245,YES,8000,NOT FUNDED,130,USD,Over Budget
Fund08,Adatar.me for XRP,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw6m,4,227,44152257,0,21910968,22241289,YES,8000,FUNDED,8130,USD,
Fund08,Adatar.me for XTZ,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBw8F,3.93,187,31070790,0,35478894,-4408104,NO,8000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Adatar.me to NFT,DApps and Integrations,https://app.ideascale.com/t/UM5UZBw3w,3.75,144,32943760,0,21631181,11312579,YES,80000,NOT FUNDED,2000,USD,Over Budget
Fund08,Adatar.me Website Widget,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBw0x,4.78,341,59701866,0,18773843,40928023,YES,12000,FUNDED,21050,USD,
Fund08,AdaTickr-Track Your ADAcrypto Price,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBuke,3.12,92,25561185,0,17596300,7964885,YES,50600,NOT FUNDED,332,USD,Over Budget
Fund08,ADATOMS HQ Science & DeFi Dec. Ed.,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBweQ,3.11,116,28733268,0,16475885,12257383,YES,23000,NOT FUNDED,700,USD,Over Budget
Fund08,ADATOMS HQ Science & DeFi Dec. Ed.,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBwhE,2.47,96,24632096,0,12896520,11735576,YES,23000,NOT FUNDED,1800,USD,Over Budget
Fund08,ADAView - Simplifying Cardano,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBuyA,4.33,135,40945994,0,7758848,33187146,YES,10000,NOT FUNDED,5532,USD,Over Budget
Fund08,ADAxie Eternity in Africa,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwCQ,2.72,80,23061904,0,12821419,10240485,NO,33000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Address Verification Ecosystem,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBvan,3.11,82,14329768,0,18033696,-3703928,NO,24000,NOT FUNDED,6608,USD,Approval Threshold
Fund08,ADIUVAT: Find your place.,DApps and Integrations,https://app.ideascale.com/t/UM5UZBv3E,3.25,95,19900133,0,18112380,1787753,NO,76100,NOT FUNDED,1000,USD,Approval Threshold
