Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy
Fund07,Blockchain based insurance pool,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrOb,2.4,143,15105787,0,15942734,-836947,NO,29000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Blockchain Latam Ecosystem Mapping,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrRP,3.17,114,15895094,0,27378965,-11483871,NO,30000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Blockchain Learning Center,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqgf,4.67,233,74917990,0,10130716,64787274,YES,56400,NOT FUNDED,42653,Over Budget,USD
Fund07,Blockchaintranslation.io Part3:BLOG,Multilingual resources,https://app.ideascale.com/t/UM5UZBrF8,4.07,109,55815307,0,4081231,51734076,YES,8900,NOT FUNDED,3078,Over Budget,USD
Fund07,Boost impact projects with Catalyst,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrdG,3.5,150,31104301,0,11687354,19416947,YES,75000,NOT FUNDED,960,Over Budget,USD
Fund07,Bottom-up land registration(Zambia),Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqiP,3.78,122,34090478,0,11304721,22785757,YES,42000,NOT FUNDED,18120,Over Budget,USD
Fund07,Breaking Worthless Traditions,DApps & Integrations,https://app.ideascale.com/t/UM5UZBq47,2.04,147,15649605,0,18175331,-2525726,NO,55000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Bridge Builders - Governance Events,Community Events,https://app.ideascale.com/t/UM5UZBq01,4.62,476,96029987,0,3855224,92174763,YES,18000,FUNDED,131769,,USD
Fund07,Bridge Builders Mentorship Program,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBqXd,4.5,313,101519177,0,5006372,96512805,YES,60000,FUNDED,395750,,USD
Fund07,Bring Ethereum NFT users to Cardano,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqwn,3.72,230,71802947,0,6859854,64943093,YES,18500,NOT FUNDED,1350,Over Budget,USD
Fund07,Bring more women to Cardano,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrMq,4.52,372,68373159,0,15638184,52734975,YES,40000,NOT FUNDED,35960,Over Budget,USD
Fund07,Browser tool- How to use DeFi dApps,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrTV,3.5,159,68022355,0,5717702,62304653,YES,49800,FUNDED,37700,,USD
Fund07,Build Cardano community in Tanzania,Community Events,https://app.ideascale.com/t/UM5UZBrMu,3.58,277,38188160,0,11544128,26644032,YES,20000,NOT FUNDED,1119,Over Budget,USD
Fund07,Build NFT liquidity pools,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrOV,4.33,268,69332086,0,22264576,47067510,YES,35100,NOT FUNDED,7700,Over Budget,USD
Fund07,Build out 14 Digital Language Hubs,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBq4s,3.67,120,61006734,0,4375759,56630975,YES,17500,FUNDED,2097,,USD
Fund07,Building 'Realverse' Metaverse Dapp,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrE0,2.39,139,15019507,0,15943188,-923681,NO,10000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Building a Network of Trust,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqcM,3,97,16227841,0,12791437,3436404,NO,30000,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Building a relevant community,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrPf,1.53,120,15215765,0,23593271,-8377506,NO,50000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Building Cardano glossary,Multilingual resources,https://app.ideascale.com/t/UM5UZBrbd,1.54,100,17878615,0,21151204,-3272589,NO,10000,NOT FUNDED,1078,Approval Threshold,USD
Fund07,Building the Realverse,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqni,2.89,129,15561222,0,13575800,1985422,NO,10000,NOT FUNDED,624,Approval Threshold,USD
Fund07,C64 Extension Wallet,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqp2,4.73,387,77413110,0,12201552,65211558,YES,19660,NOT FUNDED,1350,Over Budget,USD
Fund07,Candy Pop-Up Campaign,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrDV,3.83,93,26597490,0,15239546,11357944,YES,15000,NOT FUNDED,3495,Over Budget,USD
Fund07,Carbon as DeFi Asset | BlockCarbon,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqoS,4.56,829,149786701,0,13951975,135834726,YES,30000,FUNDED,63140,,USD
Fund07,Carbon Credit Methodology,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrcD,1.5,116,16831037,0,23983620,-7152583,NO,35000,NOT FUNDED,8800,Approval Threshold,USD
Fund07,Carbon Footprint Ledger,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrfs,5,423,66550243,0,23302303,43247940,YES,14000,NOT FUNDED,3495,Over Budget,USD
Fund07,CarbonNo DeFi Carbon Credit Market,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrNL,3,313,35379589,0,22251250,13128339,YES,25000,NOT FUNDED,5940,Over Budget,USD
Fund07,CardaBot: telegram bot with tipping,MiniLow-Budget Dapps & Integrat,https://app.ideascale.com/t/UM5UZBrVb,4.21,207,94980369,0,2070922,92909447,YES,10000,FUNDED,180000,,USD
Fund07,CardAgro - a Marketplace for Agro,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqeY,4,136,30106534,0,17906632,12199902,YES,69000,NOT FUNDED,225,Over Budget,USD
Fund07,Cardahub-Hub of services on Cardano,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrIo,4,201,45660994,0,9804840,35856154,YES,19680,NOT FUNDED,1350,Over Budget,USD
Fund07,Cardando Long Staking Rewards,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqj4,1.44,414,21164573,0,37159364,-15994791,NO,60000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Cardano & Mental Health,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBqeB,3.08,100,16368933,0,28791320,-12422387,NO,22725,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Cardano ♥ YouTube ♥ Permaculture,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrYw,3.2,101,21045020,0,18567704,2477316,NO,7000,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Cardano After Dark - Hold'em poker,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrWx,4.61,554,118924628,0,6126433,112798195,YES,40000,FUNDED,22574,,USD
Fund07,Cardano Ambassadors & Latin America,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqXh,4.6,332,97536383,0,2234379,95302004,YES,35500,FUNDED,336072,,USD
Fund07,Cardano Ambassadors Catalyst Guild,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBqXg,4.33,144,70839788,0,5384707,65455081,YES,10000,FUNDED,44720,,USD
Fund07,Cardano Amharic localisation,Multilingual resources,https://app.ideascale.com/t/UM5UZBqsv,1.61,98,14913485,0,23537970,-8624485,NO,12000,NOT FUNDED,1078,Approval Threshold,USD
Fund07,Cardano Analytics Data Hub,A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBrVL,3.25,108,29137245,0,12857274,16279971,YES,60000,NOT FUNDED,1725,Over Budget,USD
