Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments
Fund09,Cardano Music Marketplace,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBz2K,3.33,193,3976737,0,112439589,-108462852,NO,206883,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416274-48088,416274,"F9: Dapps, Products & Integrations",26595,3.33,12
Fund09,CNFTacademy Genesis,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1Sv,3.33,157,1639751,0,27946064,-26306313,NO,15000,NOT FUNDED,780,Approval Threshold,,https://cardano.ideascale.com/a/dtd/421617-48088,421617,F9: Developer Ecosystem,26597,3.33,9
Fund09,Play2Learn2Earn ADA Makerspace Game,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1Y4,3.33,154,1555933,0,25454848,-23898915,NO,80000,NOT FUNDED,780,Approval Threshold,,https://cardano.ideascale.com/a/dtd/421992-48088,421992,F9: Developer Ecosystem,26597,3.33,9
Fund09,CARDANO'S FIRST CONCERT IN AFRICA!,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB00N,3.33,131,5021852,0,28360528,-23338676,NO,57250,NOT FUNDED,415,Approval Threshold,,https://cardano.ideascale.com/a/dtd/419876-48088,419876,"F9: Grow Africa, Grow Cardano",26600,3.33,7
Fund09,Web ADA Info Community In Bahasa,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB0hY,3.33,152,14189627,0,35571872,-21382245,NO,4350,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418728-48088,418728,"F9: Grow East Asia, Grow Cardano",26602,3.33,7
Fund09,Community Cyber Security Support,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1VN,3.33,141,76889471,0,26575443,50314028,YES,120000,FUNDED,1767478,,,https://cardano.ideascale.com/a/dtd/421767-48088,421767,"F9: Dapps, Products & Integrations",26595,3.33,5
Fund09,Liquidity-less peer to peer DEX,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Xs,3.33,130,2154368,0,22290899,-20136531,NO,68800,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418198-48088,418198,"F9: Dapps, Products & Integrations",26595,3.33,5
Fund09,Student and engineers community,Challenge & Scouted for Student,https://app.ideascale.com/t/UM5UZB1jQ,3.29,171,7117679,0,25368492,-18250813,NO,13500,NOT FUNDED,28110,Approval Threshold,,https://cardano.ideascale.com/a/dtd/422563-48088,422563,F9: Challenge & Scouted for Students🎓,26599,3.29,15
Fund09,dRep easy find potential proposals,dRep improvement and onboarding,https://app.ideascale.com/t/UM5UZB0ht,3.29,164,11239951,0,24785559,-13545608,NO,15000,NOT FUNDED,5690,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418748-48088,418748,F9: dRep improvement and onboarding,26601,3.29,8
Fund09,NFT renting(by Lending Pond),"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1HA,3.29,145,2788275,0,21949287,-19161012,NO,30000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/420900-48088,420900,"F9: Dapps, Products & Integrations",26595,3.29,8
Fund09,PillarWheel Studios Cardano Apps,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1fa,3.29,121,1517993,0,20628983,-19110990,NO,16100,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/422328-48088,422328,"F9: Dapps, Products & Integrations",26595,3.29,8
